"Date","CDI.PA","OR.PA","EL","SSDOY","PG","SBH"
2010-05-10,79.779999,76.779999,31.41,20.24,62.419998,9.76
2010-05-11,79.550003,76.519997,31.57,20.139999,62.369999,10.1
2010-05-12,83.050003,76.699997,31.950001,20.48,63.02,10.68
2010-05-13,83.059998,77.660004,31.6,20.5,62.75,10.38
2010-05-14,79.599998,74.790001,30.52,20.25,62.540001,10.15
2010-05-17,79.059998,74.120003,30.885,20.35,63.380001,10.46
2010-05-18,80.150002,74.080002,30.215,20.32,63.209999,10.23
2010-05-19,77.050003,73.25,30.040001,20.389999,63.220001,9.87
2010-05-20,74.550003,74.720001,29.025,19.940001,61.610001,9.31
2010-05-21,75.279999,73.75,29.450001,20,61.849998,9.31
2010-05-24,74.589996,73.650002,29.295,19.66,61.400002,9.12
2010-05-25,72.650002,72.239998,28.785,19.299999,61.049999,9.12
2010-05-26,75.760002,74.309998,28.235001,19.440001,60.439999,9.38
2010-05-27,78.260002,75.970001,29.344999,19.209999,60.950001,9.64
2010-05-28,77.760002,76.169998,29.135,19.120001,61.09,9.41
2010-06-01,78.989998,77,28.959999,19.49,61.16,8.94
2010-06-02,79.5,77.190002,29.344999,19.450001,61.740002,8.77
2010-06-03,80.68,78.089996,29.754999,19.309999,61.799999,8.76
2010-06-04,79.449997,76.18,27.67,18.84,60.799999,8.3
2010-06-07,78.699997,75.440002,27.445,19.030001,60.619999,8.27
2010-06-08,77.470001,75.459999,28.035,19.4,62.139999,7.87
2010-06-09,78.849998,76.790001,28.495001,19.33,61.470001,7.67
2010-06-10,81.790001,78.190002,29.055,19.809999,61.91,7.93
2010-06-11,82.709999,78.339996,28.93,20,61.009998,8.23
2010-06-14,83.129997,80.550003,29.08,20.469999,61.25,8.41
2010-06-15,82.940002,79.730003,30.125,20.799999,61.91,8.56
2010-06-16,83.110001,80.849998,29.725,20.75,61.189999,8.33
2010-06-17,83.300003,82.029999,29.865,21.32,61.759998,8.5
2010-06-18,83.730003,81.050003,29.969999,21.98,61.299999,8.18
2010-06-21,85.709999,82.900002,29.49,21.76,61.099998,8.13
2010-06-22,84.25,83.540001,28.879999,21.799999,60.720001,8.01
2010-06-23,83.440002,83.43,28.67,21.93,61.380001,7.98
2010-06-24,81.809998,81.839996,28.254999,22.200001,60.869999,7.92
2010-06-25,80.919998,81.290001,28.115,22.299999,59.790001,8.1
2010-06-28,82.540001,83.120003,28.094999,22.42,60.619999,7.99
2010-06-29,79,81.129997,27.695,22.049999,60.32,7.81
2010-06-30,79.059998,80.970001,27.865,22,59.98,8.2
2010-07-01,76.309998,78.169998,28.455,22.209999,59.540001,8.49
2010-07-02,75.959999,78.290001,28.695,21.99,59.380001,8.35
2010-07-06,78.209999,79.510002,29.33,21.959999,59.34,8.14
2010-07-07,78.160004,80.230003,30.195,22.52,60.82,8.68
2010-07-08,78.669998,81.169998,30.75,22.389999,61.950001,8.52
2010-07-09,79.519997,82.800003,31.094999,22.02,61.75,8.68
2010-07-12,79.029999,82.089996,31.075001,21.68,62.09,8.44
2010-07-13,81.080002,82.760002,31.865,22.040001,62.389999,8.8
2010-07-14,81.07,83.169998,32.560001,22.110001,62.66,8.74
2010-07-15,80.220001,83.900002,32.465,22.16,62.73,8.68
2010-07-16,78.669998,82.519997,31.735001,22.059999,61.990002,8.31
2010-07-19,77.419998,82.129997,31.405001,22.049999,61.860001,8.34
2010-07-20,77.82,81.550003,31.209999,22.25,62.07,8.77
2010-07-21,79.07,82.309998,30.58,22.5,61.110001,8.5
2010-07-22,81.949997,82.410004,31.135,22.67,61.369999,8.9
2010-07-23,82.949997,83.370003,31.334999,22.6,61.91,9.21
2010-07-26,83.699997,83.440002,31.485001,23,62.52,9.6
2010-07-27,82.129997,82.75,31.715,23.129999,63.080002,9.5
2010-07-28,82.190002,83.339996,31,23.200001,62.700001,9.03
2010-07-29,82.279999,81.980003,31.195,23.34,61.669998,9.32
2010-07-30,83.160004,80.519997,31.125,22.33,61.16,9.46
2010-08-02,84.379997,81.230003,31.725,22.629999,62.060001,9.74
2010-08-03,83.849998,80.989998,31.389999,22.4,59.939999,9.45
2010-08-04,83.739998,81.239998,31.639999,22.24,59.549999,9.6
2010-08-05,85.309998,80.169998,31.655001,22.209999,59.860001,9.42
2010-08-06,83.849998,78.440002,31.73,22.889999,60.02,9.37
2010-08-09,85.059998,80.279999,31.965,22.91,60.380001,9.59
2010-08-10,84.129997,80.419998,31.48,22.389999,60.779999,9.16
2010-08-11,80.760002,78.82,30.174999,21.950001,60.27,8.7
2010-08-12,81.459999,78.519997,29.4,21.76,59.990002,8.96
2010-08-13,82.699997,78.400002,28.91,21.6,59.82,8.64
